fecha_ascenso_primer_equipo,player_name,filial_origen
2025-10-01,Dro Fernández,Barça Atlètic
2024-07-01,Marc Casadó,Barça Atlètic
2024-07-01,Mikayil Faye,Barça Atlètic
2024-07-01,Gerard Martín,Barça Atlètic
2024-07-01,Héctor Fort,Barça Atlètic
2024-07-01,Marc Bernal,Barça Atlètic
2024-01-01,Marc Guiu,Barça U19
2024-01-01,Pau Cubarsí,Barça Atlètic
2023-07-01,Julián Araujo,Barça Atlètic
2023-07-01,Fermín López,Barça Atlètic
2023-07-01,Chadi Riad,Barça Atlètic
2023-07-01,Álex Valle,Barça Atlètic
2023-07-01,Lamine Yamal,Barça U19
2022-07-01,Alejandro Balde,Barça Atlètic
2022-07-01,Abde Ezzalzouli,Barça Atlètic
2022-01-30,Iñaki Peña,Barcelona B
2021-07-01,Rey Manaj,Barcelona B
2021-07-01,Nico González,Barcelona B
2021-07-01,Ilaix Moriba,Barcelona B
2021-07-01,Gavi,Barça U19
2020-11-01,Óscar Mingueza,Barcelona B
2020-10-05,Ronald Araujo,Barcelona B
2020-09-23,Ansu Fati,Barcelona B
2020-07-01,Monchu,Barcelona B
2020-07-01,Riqui Puig,Barcelona B
2019-08-29,Juan Miranda,Barcelona B
2019-07-01,Carles Pérez,Barcelona B
2019-07-01,Moussa Wagué,Barcelona B
2018-12-04,Carles Aleñá,Barcelona B
2018-07-01,Sergi Palencia,Barcelona B
2018-07-01,Marc Cucurella,Barcelona B
2018-07-01,Marc Cardona,Barcelona B
2016-07-01,Sergi Samper,Barcelona B
2015-07-01,Sandro Ramírez,Barcelona B
2015-07-01,Munir El Haddadi,Barcelona B
2015-07-01,Alen Halilovic,Barcelona B
2014-07-01,Denis Suárez,Barcelona B
2013-07-01,Sergi Roberto,Barcelona B
2013-07-01,Gerard Deulofeu,Barcelona B
2012-07-01,Jonathan dos Santos,Barcelona B
2012-07-01,Martín Montoya,Barcelona B
2012-07-01,Marc Bartra,Barcelona B
2011-07-01,Thiago Alcántara,Barcelona B
2008-01-01,Pedro,Barcelona B
2005-07-01,Lionel Messi,Barcelona B
2000-07-01,Pepe Reina,Barcelona B
