temporada,posicion,puntos,partidos_jugados,victorias,empates,derrotas,goles_favor,goles_contra,diferencia_gol,anio_inicio,entrenador_principal,hubo_cambio_entrenador,gasto_compras,ingreso_ventas,gasto_neto,fuente_gasto,gasto_total_liga,proporcion_mercado_barca,puntos_por_victoria,puntos_maximos_posibles,rendimiento_relativo,categoria_temporada
9394,1,56,38,25,6,7,91,42,49,1993,Johan Cruyff,False,8650000.0,0.0,8650000.0,manual,46826024.0,0.1847263393535184,2,76,0.7368421052631579,Título
9495,4,46,38,18,10,10,60,45,15,1994,Johan Cruyff,False,12050000.0,14850000.0,-2800000.0,manual,58083061.0,-0.0482068257387467,2,76,0.6052631578947368,Top 4
9596,3,80,42,22,14,6,72,39,33,1995,Johan Cruyff,True,16800000.0,17000000.0,-200000.0,manual,81630870.0,-0.0024500535152939,3,126,0.6349206349206349,Top 4
9697,2,90,42,28,6,8,102,48,54,1996,Bobby Robson,False,42800000.0,10920000.0,31880000.0,manual,252865057.0,0.1260751500354594,3,126,0.7142857142857143,Top 4
9798,1,74,38,23,5,10,78,56,22,1997,Louis van Gaal,False,67450000.0,40800000.0,26650000.0,manual,354451775.0,0.0751865327800939,3,114,0.6491228070175439,Título
9899,1,79,38,24,7,7,87,43,44,1998,Louis van Gaal,False,41400000.0,25700000.0,15700000.0,manual,280855000.0,0.0559007316942906,3,114,0.6929824561403509,Título
9900,2,64,38,19,7,12,70,46,24,1999,Louis van Gaal,False,33000000.0,40650000.0,-7650000.0,manual,299142000.0,-0.0255731391780492,3,114,0.5614035087719298,Top 4
0001,4,63,38,17,12,9,80,57,23,2000,Llorenç Serra Ferrer,True,102400000.0,72700000.0,29700000.0,manual,497222019.0,0.0597318679887344,3,114,0.5526315789473685,Top 4
0102,4,64,38,18,10,10,65,37,28,2001,Carles Rexach,False,77500000.0,39410000.0,38090000.0,manual,312767000.0,0.1217839477950039,3,114,0.5614035087719298,Top 4
0203,6,56,38,15,11,12,63,47,16,2002,Louis van Gaal,True,20000000.0,11550000.0,8450000.0,manual,194916000.0,0.0433520080444909,3,114,0.49122807017543857,Mala
0304,2,72,38,21,9,8,63,39,24,2003,Frank Rijkaard,False,43850000.0,2900000.0,40950000.0,manual,158500000.0,0.2583596214511041,3,114,0.631578947368421,Top 4
0405,1,84,38,25,9,4,73,29,44,2004,Frank Rijkaard,False,78500000.0,14750000.0,63750000.0,manual,261685000.0,0.2436135047862888,3,114,0.7368421052631579,Título
0506,1,82,38,25,7,6,80,35,45,2005,Frank Rijkaard,False,0.0,11000000.0,-11000000.0,manual,251205000.0,-0.0437889373221074,3,114,0.7192982456140351,Título
0607,2,76,38,22,10,6,78,33,45,2006,Frank Rijkaard,False,31000000.0,13200000.0,17800000.0,manual,409822000.0,0.0434334906373986,3,114,0.6666666666666666,Top 4
0708,3,67,38,19,10,9,76,43,33,2007,Frank Rijkaard,False,68500000.0,14000000.0,54500000.0,manual,571450000.0,0.095371423571616,3,114,0.5877192982456141,Top 4
0809,1,87,38,27,6,5,105,35,70,2008,Pep Guardiola,False,96000000.0,54590000.0,41410000.0,manual,392015000.0,0.1056337129956761,3,114,0.7631578947368421,Título
0910,1,99,38,31,6,1,98,24,74,2009,Pep Guardiola,False,113500000.0,24500000.0,89000000.0,manual,507335000.0,0.1754264933426631,3,114,0.868421052631579,Título
1011,1,96,38,30,6,2,95,21,74,2010,Pep Guardiola,False,72500000.0,52700000.0,19800000.0,manual,315731040.0,0.0627116041552328,3,114,0.8421052631578947,Título
1112,2,91,38,28,7,3,114,29,85,2011,Pep Guardiola,False,60000000.0,46950000.0,13050000.0,manual,400615000.0,0.0325749160665476,3,114,0.7982456140350878,Top 4
1213,1,100,38,32,4,2,115,40,75,2012,Tito Vilanova,True,33000000.0,500000.0,32500000.0,manual,167720000.0,0.1937753398521345,3,114,0.8771929824561403,Título
1314,2,87,38,27,6,5,100,33,67,2013,Gerardo Martino,False,101000000.0,28100000.0,72900000.0,manual,452199060.0,0.1612121882783215,3,114,0.7631578947368421,Top 4
