temporada,entrenador,tipo,notas
9394,Johan Cruyff,principal,
9495,Johan Cruyff,principal,
9596,Johan Cruyff,principal,Destituido 18/05/1996
9596,Carles Rexach,interino,Últimas 2 jornadas
9697,Bobby Robson,principal,
9798,Louis van Gaal,principal,
9899,Louis van Gaal,principal,
9900,Louis van Gaal,principal,
0001,Llorenç Serra Ferrer,principal,Destituido 23/04/2001
0001,Carles Rexach,interino,Resto de temporada
0102,Carles Rexach,principal,
0203,Louis van Gaal,principal,Salida finales enero 2003. Empate exacto en partidos dirigidos (19-19); queda como principal por convención (quien inició el tramo)
0203,Radomir Antić,interino,Desde finales enero 2003
0304,Frank Rijkaard,principal,
0405,Frank Rijkaard,principal,
0506,Frank Rijkaard,principal,
0607,Frank Rijkaard,principal,
0708,Frank Rijkaard,principal,
0809,Pep Guardiola,principal,
0910,Pep Guardiola,principal,
1011,Pep Guardiola,principal,
1112,Pep Guardiola,principal,
1213,Tito Vilanova,principal,Licencia médica dic 2012-mar 2013
1213,Jordi Roura,interino,Durante licencia médica de Vilanova
1314,Gerardo Martino,principal,
1415,Luis Enrique,principal,
1516,Luis Enrique,principal,
1617,Luis Enrique,principal,
1718,Ernesto Valverde,principal,
1819,Ernesto Valverde,principal,
1920,Ernesto Valverde,principal,Destituido 13/01/2020. Empate exacto en partidos dirigidos (19-19); queda como principal por convención (quien inició el tramo)
1920,Quique Setién,interino,Desde 13/01/2020
2021,Ronald Koeman,principal,
2122,Ronald Koeman,principal,Destituido 27/10/2021
2122,Sergi Barjuan,interino,28/10 al 04/11/2021
2122,Xavi Hernández,principal,"Desde 05/11/2021, dirigió la mayoría de la temporada"
2223,Xavi Hernández,principal,
2324,Xavi Hernández,principal,
2425,Hansi Flick,principal,
2526,Hansi Flick,principal,Temporada en curso
