temporada,entrenador_principal,hubo_cambio_entrenador
0001,Llorenç Serra Ferrer,True
0102,Carles Rexach,False
0203,Louis van Gaal,True
0304,Frank Rijkaard,False
0405,Frank Rijkaard,False
0506,Frank Rijkaard,False
0607,Frank Rijkaard,False
0708,Frank Rijkaard,False
0809,Pep Guardiola,False
0910,Pep Guardiola,False
1011,Pep Guardiola,False
1112,Pep Guardiola,False
1213,Tito Vilanova,True
1314,Gerardo Martino,False
1415,Luis Enrique,False
1516,Luis Enrique,False
1617,Luis Enrique,False
1718,Ernesto Valverde,False
1819,Ernesto Valverde,False
1920,Ernesto Valverde,True
2021,Ronald Koeman,False
2122,Ronald Koeman,True
2223,Xavi Hernández,False
2324,Xavi Hernández,False
2425,Hansi Flick,False
2526,Hansi Flick,False
9394,Johan Cruyff,False
9495,Johan Cruyff,False
9596,Johan Cruyff,True
9697,Bobby Robson,False
9798,Louis van Gaal,False
9899,Louis van Gaal,False
9900,Louis van Gaal,False
