temporada,gasto_compras,ingreso_ventas,gasto_neto
1415,123720000.0,44000000.0,79720000.0
1516,0.0,37000000.0,-37000000.0
1617,94750000.0,31000000.0,63750000.0
1718,348100000.0,222000000.0,126100000.0
1819,138900000.0,82500000.0,56400000.0
1920,304000000.0,120900000.0,183100000.0
2021,111940000.0,150900000.0,-38960000.0
2122,69000000.0,78850000.0,-9850000.0
2223,159000000.0,36000000.0,123000000.0
2324,33400000.0,131200000.0,-97800000.0
2425,66500000.0,60800000.0,5700000.0
2526,27500000.0,31200000.0,-3700000.0
