temporada,gasto_compras,ingreso_ventas,gasto_neto,fuente_gasto
0001,102400000.0,72700000.0,29700000.0,manual
0102,77500000.0,39410000.0,38090000.0,manual
0203,20000000.0,11550000.0,8450000.0,manual
0304,43850000.0,2900000.0,40950000.0,manual
0405,78500000.0,14750000.0,63750000.0,manual
0506,0.0,11000000.0,-11000000.0,manual
0607,31000000.0,13200000.0,17800000.0,manual
0708,68500000.0,14000000.0,54500000.0,manual
0809,96000000.0,54590000.0,41410000.0,manual
0910,113500000.0,24500000.0,89000000.0,manual
1011,72500000.0,52700000.0,19800000.0,manual
1112,60000000.0,46950000.0,13050000.0,manual
1213,33000000.0,500000.0,32500000.0,manual
1314,101000000.0,28100000.0,72900000.0,manual
1415,123720000.0,44000000.0,79720000.0,automatizado
1516,0.0,37000000.0,-37000000.0,automatizado
1617,94750000.0,31000000.0,63750000.0,automatizado
1718,348100000.0,222000000.0,126100000.0,automatizado
1819,138900000.0,82500000.0,56400000.0,automatizado
1920,304000000.0,120900000.0,183100000.0,automatizado
2021,111940000.0,150900000.0,-38960000.0,automatizado
2122,69000000.0,78850000.0,-9850000.0,automatizado
2223,159000000.0,36000000.0,123000000.0,automatizado
2324,33400000.0,131200000.0,-97800000.0,automatizado
2425,66500000.0,60800000.0,5700000.0,automatizado
2526,27500000.0,31200000.0,-3700000.0,automatizado
9394,8650000.0,0.0,8650000.0,manual
9495,12050000.0,14850000.0,-2800000.0,manual
9596,16800000.0,17000000.0,-200000.0,manual
9697,42800000.0,10920000.0,31880000.0,manual
9798,67450000.0,40800000.0,26650000.0,manual
9899,41400000.0,25700000.0,15700000.0,manual
9900,33000000.0,40650000.0,-7650000.0,manual
