temporada,gasto_compras,ingreso_ventas,gasto_neto
0001,102400000,72700000,29700000
0102,77500000,39410000,38090000
0203,20000000,11550000,8450000
0304,43850000,2900000,40950000
0405,78500000,14750000,63750000
0506,0,11000000,-11000000
0607,31000000,13200000,17800000
0708,68500000,14000000,54500000
0809,96000000,54590000,41410000
0910,113500000,24500000,89000000
1011,72500000,52700000,19800000
1112,60000000,46950000,13050000
1213,33000000,500000,32500000
1314,101000000,28100000,72900000
9394,8650000,0,8650000
9495,12050000,14850000,-2800000
9596,16800000,17000000,-200000
9697,42800000,10920000,31880000
9798,67450000,40800000,26650000
9899,41400000,25700000,15700000
9900,33000000,40650000,-7650000
