temporada,gasto_total_liga
0001,497222019.0
0102,312767000.0
0203,194916000.0
0304,158500000.0
0405,261685000.0
0506,251205000.0
0607,409822000.0
0708,571450000.0
0809,392015000.0
0910,507335000.0
1011,315731040.0
1112,400615000.0
1213,167720000.0
1314,452199060.0
1415,414803000.0
1516,324000000.0
1617,339360000.0
1718,715300000.0
1819,852750000.0
1920,1344380000.0
2021,436610000.0
2122,389700000.0
2223,588470000.0
2324,580640000.0
2425,626115000.0
2526,760670000.0
9394,46826024.0
9495,58083061.0
9596,81630870.0
9697,252865057.0
9798,354451775.0
9899,280855000.0
9900,299142000.0
