Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,goles_barca,goles_rival,temporada
2000-09-09,Barcelona,Malaga,2,1,H,2.0,0.0,H,,,,,,,,,,,,,,2,1,0001
2000-09-16,Ath Bilbao,Barcelona,3,1,H,1.0,1.0,D,,,,,,,,,,,,,,1,3,0001
2000-09-23,Barcelona,Santander,3,1,H,1.0,0.0,H,,,,,,,,,,,,,,3,1,0001
2000-10-01,La Coruna,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0001
2000-10-14,Sociedad,Barcelona,0,6,A,0.0,6.0,A,,,,,,,,,,,,,,6,0,0001
2000-10-21,Barcelona,Real Madrid,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0001
2000-10-28,Mallorca,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,2,0001
2000-11-01,Barcelona,Numancia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0001
2000-11-04,Las Palmas,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,1,0,0001
2000-11-12,Barcelona,Villarreal,1,2,A,1.0,1.0,D,,,,,,,,,,,,,,1,2,0001
2000-11-19,Zaragoza,Barcelona,3,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,3,0001
2000-11-26,Barcelona,Osasuna,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0001
2000-12-02,Celta,Barcelona,3,3,D,3.0,1.0,H,,,,,,,,,,,,,,3,3,0001
2000-12-10,Barcelona,Espanol,4,2,H,2.0,0.0,H,,,,,,,,,,,,,,4,2,0001
2000-12-16,Vallecano,Barcelona,2,2,D,1.0,1.0,D,,,,,,,,,,,,,,2,2,0001
2000-12-20,Barcelona,Alaves,3,2,H,1.0,0.0,H,,,,,,,,,,,,,,3,2,0001
2001-01-07,Oviedo,Barcelona,2,3,A,0.0,2.0,A,,,,,,,,,,,,,,3,2,0001
2001-01-13,Barcelona,Valladolid,3,1,H,0.0,0.0,D,,,,,,,,,,,,,,3,1,0001
2001-01-20,Valencia,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0001
2001-01-27,Malaga,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0001
2001-02-03,Barcelona,Ath Bilbao,7,0,H,6.0,0.0,H,,,,,,,,,,,,,,7,0,0001
2001-02-11,Santander,Barcelona,4,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,4,0001
2001-02-17,Barcelona,La Coruna,2,3,A,2.0,1.0,H,,,,,,,,,,,,,,2,3,0001
2001-02-25,Barcelona,Sociedad,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,3,0,0001
2001-03-03,Real Madrid,Barcelona,2,2,D,2.0,1.0,H,,,,,,,,,,,,,,2,2,0001
2001-03-11,Barcelona,Mallorca,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0001
2001-03-18,Numancia,Barcelona,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0001
2001-04-01,Barcelona,Las Palmas,4,1,H,2.0,1.0,H,,,,,,,,,,,,,,4,1,0001
2001-04-08,Villarreal,Barcelona,4,4,D,3.0,1.0,H,,,,,,,,,,,,,,4,4,0001
2001-04-14,Barcelona,Zaragoza,4,4,D,0.0,2.0,A,,,,,,,,,,,,,,4,4,0001
2001-04-22,Osasuna,Barcelona,3,1,H,2.0,1.0,H,,,,,,,,,,,,,,1,3,0001
2001-04-29,Barcelona,Celta,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0001
2001-05-05,Espanol,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0001
2001-05-13,Barcelona,Vallecano,5,1,H,1.0,1.0,D,,,,,,,,,,,,,,5,1,0001
2001-05-19,Alaves,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0001
2001-05-27,Barcelona,Oviedo,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,0,1,0001
2001-06-10,Valladolid,Barcelona,2,2,D,0.0,1.0,A,,,,,,,,,,,,,,2,2,0001
2001-06-17,Barcelona,Valencia,3,2,H,2.0,1.0,H,,,,,,,,,,,,,,3,2,0001
2001-08-26,Sevilla,Barcelona,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,1,0102
2001-09-09,Barcelona,Vallecano,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0102
2001-09-15,Osasuna,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0102
2001-09-22,Barcelona,Tenerife,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0102
2001-09-29,Sociedad,Barcelona,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,0,0102
2001-10-03,Barcelona,Mallorca,3,0,H,3.0,0.0,H,,,,,,,,,,,,,,3,0,0102
2001-10-06,La Coruna,Barcelona,2,1,H,0.0,1.0,A,,,,,,,,,,,,,,1,2,0102
2001-10-14,Barcelona,Valencia,2,2,D,1.0,1.0,D,,,,,,,,,,,,,,2,2,0102
2001-10-20,Malaga,Barcelona,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0102
2001-10-27,Barcelona,Betis,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,3,0,0102
2001-11-04,Real Madrid,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,2,0102
2001-11-11,Barcelona,Valladolid,4,0,H,2.0,0.0,H,,,,,,,,,,,,,,4,0,0102
2001-11-17,Las Palmas,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0102
2001-11-24,Barcelona,Ath Bilbao,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,1,2,0102
2001-12-01,Alaves,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,2,0102
2001-12-09,Barcelona,Celta,2,2,D,1.0,0.0,H,,,,,,,,,,,,,,2,2,0102
2001-12-16,Villarreal,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0102
2001-12-22,Espanol,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0102
2002-01-06,Barcelona,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0102
2002-01-13,Barcelona,Sevilla,3,1,H,1.0,1.0,D,,,,,,,,,,,,,,3,1,0102
2002-01-20,Vallecano,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-01-27,Barcelona,Osasuna,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,0,1,0102
2002-02-02,Tenerife,Barcelona,0,6,A,0.0,2.0,A,,,,,,,,,,,,,,6,0,0102
2002-02-06,Barcelona,Sociedad,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0102
2002-02-09,Mallorca,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0102
2002-02-16,Barcelona,La Coruna,3,2,H,1.0,1.0,D,,,,,,,,,,,,,,3,2,0102
2002-02-23,Valencia,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,2,0102
2002-03-03,Barcelona,Malaga,5,1,H,3.0,0.0,H,,,,,,,,,,,,,,5,1,0102
2002-03-09,Betis,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-03-16,Barcelona,Real Madrid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0102
2002-03-24,Valladolid,Barcelona,1,2,A,1.0,2.0,A,,,,,,,,,,,,,,2,1,0102
2002-03-30,Barcelona,Las Palmas,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0102
2002-04-06,Ath Bilbao,Barcelona,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,0,0102
2002-04-14,Barcelona,Alaves,3,2,H,1.0,0.0,H,,,,,,,,,,,,,,3,2,0102
2002-04-20,Celta,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-04-27,Barcelona,Villarreal,4,1,H,0.0,1.0,A,,,,,,,,,,,,,,4,1,0102
2002-05-05,Barcelona,Espanol,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0102
2002-05-11,Zaragoza,Barcelona,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0102
2002-09-01,Barcelona,Ath Madrid,2,2,D,1.0,1.0,D,,,,,,,,,,,,,,2,2,0203
2002-09-14,Ath Bilbao,Barcelona,0,2,A,0.0,2.0,A,,,,,,,,,,,,,,2,0,0203
2002-09-21,Barcelona,Espanol,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0203
2002-09-28,Betis,Barcelona,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,3,0203
2002-10-06,Barcelona,Osasuna,2,2,D,2.0,2.0,D,,,,,,,,,,,,,,2,2,0203
2002-10-20,Valladolid,Barcelona,2,1,H,0.0,0.0,D,,,,,,,,,,,,,,1,2,0203
2002-10-26,Barcelona,Alaves,6,1,H,4.0,0.0,H,,,,,,,,,,,,,,6,1,0203
2002-11-03,Santander,Barcelona,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0203
2002-11-09,Barcelona,Villarreal,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,1,0,0203
2002-11-16,La Coruna,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0203
2002-11-23,Barcelona,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0203
2002-12-01,Sociedad,Barcelona,2,1,H,1.0,1.0,D,,,,,,,,,,,,,,1,2,0203
