temporada,presidente_principal,hubo_cambio_presidente
0001,Joan Gaspart,False
0102,Joan Gaspart,False
0203,Joan Gaspart,True
0304,Joan Laporta,False
0405,Joan Laporta,False
0506,Joan Laporta,False
0607,Joan Laporta,False
0708,Joan Laporta,False
0809,Joan Laporta,False
0910,Joan Laporta,False
1011,Sandro Rosell,False
1112,Sandro Rosell,False
1213,Sandro Rosell,False
1314,Sandro Rosell,True
1415,Josep Maria Bartomeu,False
1516,Josep Maria Bartomeu,False
1617,Josep Maria Bartomeu,False
1718,Josep Maria Bartomeu,False
1819,Josep Maria Bartomeu,False
1920,Josep Maria Bartomeu,False
2021,Josep Maria Bartomeu,True
2122,Joan Laporta,False
2223,Joan Laporta,False
2324,Joan Laporta,False
2425,Joan Laporta,False
2526,Joan Laporta,False
9394,Josep Lluís Núñez,False
9495,Josep Lluís Núñez,False
9596,Josep Lluís Núñez,False
9697,Josep Lluís Núñez,False
9798,Josep Lluís Núñez,False
9899,Josep Lluís Núñez,False
9900,Josep Lluís Núñez,False
