temporada,posicion,puntos,partidos_jugados,victorias,empates,derrotas,goles_favor,goles_contra,diferencia_gol,anio_inicio
9394,1,56,38,25,6,7,91,42,49,1993
9495,4,46,38,18,10,10,60,45,15,1994
9596,3,80,42,22,14,6,72,39,33,1995
9697,2,90,42,28,6,8,102,48,54,1996
9798,1,74,38,23,5,10,78,56,22,1997
9899,1,79,38,24,7,7,87,43,44,1998
9900,2,64,38,19,7,12,70,46,24,1999
0001,4,63,38,17,12,9,80,57,23,2000
0102,4,64,38,18,10,10,65,37,28,2001
0203,6,56,38,15,11,12,63,47,16,2002
0304,2,72,38,21,9,8,63,39,24,2003
0405,1,84,38,25,9,4,73,29,44,2004
0506,1,82,38,25,7,6,80,35,45,2005
0607,2,76,38,22,10,6,78,33,45,2006
0708,3,67,38,19,10,9,76,43,33,2007
0809,1,87,38,27,6,5,105,35,70,2008
0910,1,99,38,31,6,1,98,24,74,2009
1011,1,96,38,30,6,2,95,21,74,2010
1112,2,91,38,28,7,3,114,29,85,2011
1213,1,100,38,32,4,2,115,40,75,2012
1314,2,87,38,27,6,5,100,33,67,2013
1415,1,94,38,30,4,4,110,21,89,2014
1516,1,91,38,29,4,5,112,29,83,2015
1617,2,90,38,28,6,4,116,37,79,2016
1718,1,93,38,28,9,1,99,29,70,2017
1819,1,87,38,26,9,3,90,36,54,2018
1920,2,82,38,25,7,6,86,38,48,2019
2021,3,79,38,24,7,7,85,38,47,2020
2122,2,73,38,21,10,7,68,38,30,2021
2223,1,88,38,28,4,6,70,20,50,2022
2324,2,85,38,26,7,5,79,44,35,2023
2425,1,88,38,28,4,6,102,39,63,2024
2526,1,94,38,31,1,6,95,36,59,2025
