jugador,minutos_jugados
Sergio Busquets,28881
Lionel Messi,25673
Gerard Piqué,24725
Jordi Alba,22572
Sergi Roberto,15247
Andrés Iniesta,11597
Ronald Araujo,9630
Alejandro Balde,8210
Eric García,7800
Gavi,7471
Lamine Yamal,7337
Pau Cubarsí,6889
Víctor Valdés,5063
Cesc Fàbregas,4786
Fermín López,4487
Marc Bartra,3514
Ansu Fati,3454
Dani Olmo,3293
Gerard Martín,3150
Martín Montoya,2860
Óscar Mingueza,2792
Marc Casadó,2610
Cristian Tello,1586
Munir El Haddadi,1453
Thiago Alcántara,1409
Carles Puyol,1394
Riqui Puig,1264
Marc Bernal,1031
Oriol Romeu,930
Héctor Fort,897
Carles Aleñá,848
Ilaix Moriba,537
Gerard Deulofeu,527
Sandro Ramírez,492
Carles Pérez,473
Adama Traoré,385
Xavi Espart,164
Héctor Bellerín,141
Jonathan dos Santos,77
Marc Guiu,73
Sergi Samper,30
