temporada,minutos_no_cantera,minutos_cantera,minutos_totales,porcentaje_cantera
1213,15360,22161,37521,0.5906292476213321
1314,17879,19733,37612,0.5246463894501755
1415,22617,14913,37530,0.3973621103117506
1516,20933,16683,37616,0.4435080816673756
1617,24140,13456,37596,0.3579104160017023
1718,22016,15546,37562,0.4138757254672275
1819,22786,14392,37178,0.3871106568400667
1920,22132,15411,37543,0.41048930559624963
2021,15893,12692,28585,0.4440090956795522
2122,19518,17247,36765,0.46911464708282336
2223,22295,15221,37516,0.40572022603689095
2324,25740,11818,37558,0.31465999254486393
2425,20256,17334,37590,0.46113328012769356
2526,18481,19145,37626,0.508823685749216
