temporada,valor_plantilla,num_jugadores,valor_promedio_jugador,valor_total_liga,valor_relativo_plantilla,anio_inicio,entrenador_principal,rendimiento_relativo,categoria_temporada,proporcion_mercado_barca,diferencia_valor_gasto
1213,444500000,19,23394736.842105262,2524175000,0.17609714064991533,2012,Tito Vilanova,0.8771929824561403,Título,0.1937753398521345,-0.017678199202219164
1314,482200000,20,24110000.0,2629325000,0.18339307616973938,2013,Gerardo Martino,0.7631578947368421,Top 4,0.1612121882783215,0.022180887891417866
1415,546900000,22,24859090.90909091,3211500000,0.17029425502101822,2014,Luis Enrique,0.8245614035087719,Título,0.1921876167722991,-0.02189336175128087
1516,644200000,22,29281818.181818184,3583725000,0.17975709631737927,2015,Luis Enrique,0.7982456140350878,Título,-0.1141975308641975,0.2939546271815768
1617,707300000,28,25260714.285714287,4046705000,0.17478417626192175,2016,Luis Enrique,0.7894736842105263,Top 4,0.1878536067892503,-0.013069430527328563
1718,963300000,28,34403571.428571425,5060125000,0.19037079123539438,2017,Ernesto Valverde,0.8157894736842105,Título,0.1762896686704879,0.014081122564906484
1819,1107100000,34,32561764.70588235,6425000000,0.1723112840466926,2018,Ernesto Valverde,0.7631578947368421,Título,0.0661389621811785,0.1061723218655141
1920,865200000,32,27037500.0,5495950000,0.15742501296409175,2019,Ernesto Valverde,0.7192982456140351,Top 4,0.1361966110772252,0.02122840188686656
2021,823600000,37,22259459.45945946,5542375000,0.1486005548163017,2020,Ronald Koeman,0.6929824561403509,Top 4,-0.0892329538947802,0.2378335087110819
2122,646450000,37,17471621.62162162,5365900000,0.12047373227231219,2021,Ronald Koeman,0.6403508771929824,Top 4,-0.0252758532204259,0.1457495854927381
2223,830050000,31,26775806.451612905,5380770000,0.15426230818265788,2022,Xavi Hernández,0.7719298245614035,Título,0.2090166023756521,-0.05475429419299421
2324,836750000,27,30990740.740740743,5615735000,0.14900097671987728,2023,Xavi Hernández,0.7456140350877193,Top 4,-0.1684348305318269,0.31743580725170417
2425,1065000000,26,40961538.461538464,5464050000,0.1949103686825706,2024,Hansi Flick,0.7719298245614035,Título,0.0091037588941328,0.1858066097884378
2526,1168800000,25,46752000.0,5636550000,0.20736088564813582,2025,Hansi Flick,0.8245614035087719,Título,-0.0048641329354384,0.2122250185835742
