temporada,presidente,tipo,notas
9394,Josep Lluís Núñez,principal,
9495,Josep Lluís Núñez,principal,
9596,Josep Lluís Núñez,principal,
9697,Josep Lluís Núñez,principal,
9798,Josep Lluís Núñez,principal,
9899,Josep Lluís Núñez,principal,
9900,Josep Lluís Núñez,principal,"Dimite 23/07/2000, al cierre de temporada"
0001,Joan Gaspart,principal,
0102,Joan Gaspart,principal,
0203,Joan Gaspart,principal,Dimite 12/02/2003
0203,Enric Reyna,interino,12/02/2003 al 06/05/2003
0203,Comisión Gestora,interino,Desde 06/05/2003 hasta cierre de temporada
0304,Joan Laporta,principal,"Asume 15/06/2003, antes del inicio de esta temporada"
0405,Joan Laporta,principal,
0506,Joan Laporta,principal,
0607,Joan Laporta,principal,
0708,Joan Laporta,principal,
0809,Joan Laporta,principal,
0910,Joan Laporta,principal,"Termina mandato 30/06/2010, al cierre de temporada"
1011,Sandro Rosell,principal,
1112,Sandro Rosell,principal,
1213,Sandro Rosell,principal,
1314,Sandro Rosell,principal,Dimite 23/01/2014 (caso Neymar)
1314,Josep Maria Bartomeu,principal,"Resto de temporada, era vicepresidente de Rosell"
1415,Josep Maria Bartomeu,principal,
1516,Josep Maria Bartomeu,principal,
1617,Josep Maria Bartomeu,principal,
1718,Josep Maria Bartomeu,principal,
1819,Josep Maria Bartomeu,principal,
1920,Josep Maria Bartomeu,principal,
2021,Josep Maria Bartomeu,principal,Dimite 27/10/2020
2021,Carles Tusquets,interino,"Comisión gestora, 27/10/2020 a marzo 2021"
2021,Joan Laporta,principal,"Reelegido, asume ~marzo 2021, resto de temporada"
2122,Joan Laporta,principal,
2223,Joan Laporta,principal,
2324,Joan Laporta,principal,
2425,Joan Laporta,principal,
2526,Joan Laporta,principal,Temporada actual
